Rank,Current/Most Recent Study,Status,Study Results,Interventions,Outcome Measures,Age,Phases,Enrollment,Study Type,Study Designs,Completion Date,Locations,URL,Other Locations,Latitude,Longitude,Hospital Name,Temp Locations 2,Principal Investigator,County,ICU Beds in the County,Composite Score,Total Successful Trials,State,ICU Beds true,Normalized Composite Scores
271,"A Dose-Ranging Study to Determine the Efficacy, Safety and Tolerability of AeroFact",Recruiting,No Results Available,Drug: AeroFact|Other: nCPAP,Incidence of intubation/cannulation and instilled surfactant|Percent of patients with respiratory symptoms requiring intervention across groups|Percent of patients requiring supplemental oxygen and visits for medical care (Doctor's office/ER/Hospitalization)|Percent of patients requiring repeat surfactant dosing between groups,26 Weeks to 31 Weeks   (Child),Phase 2,261,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",31-Aug-24,"University of Arkansas for Medical Sciences, Little Rock, Arkansas, United States",https://ClinicalTrials.gov/show/NCT03969992,,34.7482832,-92.32455449,"University of Arkansas for Medical Sciences, Little Rock",University of Arkansas for Medical Sciences,"Andy Clark, PhD",Pulaski,8,0.432534222,0,Arkansas,209,83.8004656
272,Tolerability and Efficacy of RJX in Patients With COVID-19,"Active, not recruiting",No Results Available,Drug: Rejuveinix (RJX) Active Comparator|Drug: Placebo Comparator,"Safety as measured by DLTs and drug related SAE's|Tolerability and Efficacy measured by progression of disease through an ordinal scale.|Efficacy measured by time to resolution of respiratory failure|Efficacy as measured by day of ICU care.|Safety, Tolerability, Efficacy measured by mortality over 28 Days.|Efficacy measured by mean change in baseline clinical status on Days 7 and 14.|Efficacy measured by mean change in hospitalization days on Days 7 and 14.|Efficacy measured by time to coming off supplemental oxygen on Days 7 and 14.|Safety and Efficacy measured by time from first dose to renal therapy.","18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,237,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",23-Feb,"Memorial Hermann Memorial City Medical Center, Houston, Texas, United States",https://ClinicalTrials.gov/show/NCT04708340,,29.78170415,-95.54671017,"Memorial Hermann Memorial City Medical Center, Houston",Memorial Hermann Memorial City Medical Center,,Harris,918,0.290090595,0,Texas,918,39.76410852
273,Assessment of Efficacy and Safety of Ruxolitinib in Participants With COVID-19-Associated ARDS Who Require Mechanical Ventilation (RUXCOVID-DEVENT),Terminated,Has Results,Drug: Placebo|Drug: Ruxolitinib,Percentage of Participants Who Have Died Due to Any Cause|Number of Ventilator Free Days|Number of ICU Free Days|Oxygen Free Days|Vasopressor Free Days|Hospital Free Days|Percentage of Participants With at Least 2-point Improvement in the COVID-19 Ordinal Scale|Percentage of Participants With at Least 1-point Improvement in the COVID-19 Ordinal Scale|Time to Improvement From Baseline Category to Earliest 1-point Improvement in the COVID-19 Ordinal Scale|Percentage of Participants With the COVID-19 Ordinal Scale Reported|Change in the COVID-19 9-point Ordinal Scale|Change in SOFA Score|Number and Percentage of Participants With Treatment-related Side Effects and Serious Adverse Events,"12 Years and older   (Child, Adult, Older Adult)",Phase 3,211,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",26-Feb-21,"Honor Health Research Institute, Scottsdale, Arizona, United States",https://ClinicalTrials.gov/show/NCT04377620,,33.5813908,-111.8830819,"Honor Health Research Institute, Scottsdale",Honor Health Research Institute,,Maricopa,1004,0.188377743,1,Arizona,1004,8.31964474
274,Acute Respiratory Distress Syndrome Clinical Network (ARDSNet),Completed,No Results Available,Procedure: Low Tidal Volume Ventilation|Procedure: Positive End-Expiratory Pressure|Drug: Lysofylline|Drug: Methylprednisolone|Drug: Ketoconazole|Procedure: Fluid Management|Procedure: Pulmonary Artery Catheter,Vary by protocol,"13 Years and older   (Child, Adult, Older Adult)",Phase 3,,Interventional,Intervention Model: Factorial Assignment|Primary Purpose: Treatment,4-Jul,"University of California, San Francisco, California, United States",https://ClinicalTrials.gov/show/NCT00000579,,33.6431901,-117.8401649,"University of California, San Francisco",University of California,"Edward Abraham, MD",Orange,0,0.178217076,1,California,651,5.178480972
275,The Safety and Efficacy of Lucinactant for Inhalation in Premature Neonates 26 to 32 Weeks Gestational Age,Completed,Has Results,Drug: Lucinactant delivered via investigational delivery device|Drug: nCPAP,Number of Participants With Respiratory Failure or Death Due to Respiratory Distress Syndrome (RDS)|Incidence of Respiratory Failure or Death Due to RDS|Time to nCPAP Failure|Incidence of Respiratory Failure or Death Due to RDS With Poisson Distribution Modeling|Number of Participants With Bronchopulmonary Dysplasia (BPD),26 Weeks to 32 Weeks   (Child),Phase 2,221,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",6-Aug-19,"University of Alabama at Birmingham, Birmingham, Alabama, United States",https://ClinicalTrials.gov/show/NCT02636868,,33.5016153,-86.80604756,"University of Alabama at Birmingham, Birmingham",University of Alabama at Birmingham,"Steven Simonson, MD",Jefferson,471,0.48493457,6,Alabama,471,100
276,A Study of APL-9 in Adults With Mild to Moderate ARDS Due to COVID-19,Completed,Has Results,Drug: APL-9|Other: Vehicle Control,"Number of Subjects Who Experienced Treatment-emergent Adverse Events (TEAEs) and Serious TEAEs|Hospital Length of Stay|Overall Survival|Change From Baseline in Sequential Organ Failure Assessment (SOFA) Score Over Time|Total Duration of Mechanical Ventilation|Total Duration of Oxygen Therapy|Serum Concentration of APL-9 Over Time|Change From Baseline at EOT Visit in Biomarkers of Complement Activation: Components C3 and C4|Change From Baseline at EOT Visit in Biomarkers of Complement Activation: Components C3a, C4a, C5a and Terminal Complement Complex (TCC)|Change From Baseline at EOT Visit in Biomarkers of Complement Activation: Complement Bb|Change From Baseline at EOT Visit in Biomarkers of Complement Activation: Alternative Complement Pathway Hemolytic Activity (AH50)|Change From Baseline at EOT Visit in Biomarkers of Coagulopathy: Reticulocytes|Change From Baseline at EOT Visit in Biomarkers of Coagulopathy: Schistocytes|Change From Baseline at EOT Visit in Biomarkers of Coagulopathy: Lactate Dehydrogenase|Change From Baseline at EOT Visit in Biomarkers of Coagulopathy: D-Dimer and Ferritin|Change From Baseline at EOT Visit in Biomarkers of Coagulopathy: Haptoglobin and Fibrinogen|Change From Baseline at EOT Visit in Biomarkers of Inflammation: C-reactive Protein (CRP)|Change From Baseline at EOT Visit in Biomarkers of Inflammation: Tumor Necrosis Factor Alpha (TNFα), Interleukin-1-beta (IL-1β) and Interleukin-6 (IL-6)","18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,72,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",13-Feb-21,"University of California at San Francisco - Fresno, Fresno, California, United States",https://ClinicalTrials.gov/show/NCT04402060,,36.7377981,-119.7871247,"University of California at San Francisco - Fresno, Fresno",University of California at San Francisco - Fresno,,Fresno,164,0.193083545,2,California,164,9.774440449
277,A Study in Preterm Neonates With RDS to Compare CUROSURF® Administration Through LISA and Conventional Administration,Terminated,No Results Available,Combination Product: LISA combination product (Curosurf+catheter CHF6440)|Drug: Curosurf through conventional administration (endotracheal tube),"Main Safety Outcome: Number and percentage of neonates with adverse events started during the procedure for surfactant administration and judged related to the procedure|Main Safety Outcome: Incidence of AEs (including neonatal complications of prematurity), incidence of adverse drugs reactions, incidence of serious adverse events, incidence of AEs leading to death|Main Safety Outcome: Number of first failed attempts to insert the catheter/endotracheal tube and percentage of neonates with first failed attempt|Main Safety Outcome: Incidence of death at 36 weeks PMA|Main Safety Outcome: Incidence of bronchopulmonary dysplasia at 36 weeks PMA|Main Safety Outcome: Health status at discharge or 40 weeks PMA (whichever comes first): feeding status, hearing status, growth parameters, need for respiratory support or respiratory medication|Main Efficacy Outcome: Percentage of neonates needing invasive mechanical ventilation|Main Efficacy Outcome: Median duration of invasive mechanical ventilation|Main Efficacy Outcome: Preductal Oxygen Saturation (SpO2), Fraction of Inspired Oxygen (FiO2) and SpO2/FiO2 ratio|Main Efficacy Outcome: Percentage of neonates requiring at least one additional surfactant dose",30 Minutes to 24 Hours   (Child),Phase 3,33,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,13-Aug-22,"Chiesi Clinical Trial Site 84029, Little Rock, Arkansas, United States",https://ClinicalTrials.gov/show/NCT02772081,,40.6725315,-112.762883,"Chiesi Clinical Trial Site 84029, Little Rock",Chiesi Clinical Trial Site 84029,"Rangasamy Ramanathan, M.D.",Tooele,4,0.196963539,0,Utah,4,10.97393814
278,Effects of TNX-832 (Sunol cH36) in Subjects With Acute Lung Injury/Acute Respiratory Distress Syndrome,Completed,No Results Available,Biological: TNX-832|Drug: Placebo,"Safety assessed by number of adverse events, and changes in vital signs, ECGs, laboratory, coagulation and pulmonary function parameters.|Composite of pharmacokinetics","18 Years and older   (Adult, Older Adult)",Phase 1,18,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Treatment,8-Feb,"University of Miami, Miami, Florida, United States",https://ClinicalTrials.gov/show/NCT01438853,,25.71727245,-80.27870688,"University of Miami, Miami",University of Miami,"Hing Wong, PhD",Miami-Dade,593,0.221949927,1,Florida,593,18.69846416
279,Wide Scale Monitoring for Acute Respiratory Infection Using a Mobile-Based Study Platform,Completed,No Results Available,,Incidence of inﬂuenza-like illness (ILI) and COVID-like illness (CLI) in a study participant.|Incidence of COVID-like illness (CLI) in a study participant.|Disease Prevalence,"18 Years and older   (Adult, Older Adult)",,16000,Observational,Observational Model: Cohort|Time Perspective: Prospective,8-Dec-21,"Boston Children's Hospital, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT04663776,,42.33716075,-71.10568624,"Boston Children's Hospital, Boston",Boston Children's Hospital,,Suffolk,281,0.317766372,3,Massachusetts,447,48.32005745
280,Anti-TF Antibody (ALT-836) to Treat Septic Patients With Acute Lung Injury or Acute Respiratory Distress Syndrome,Completed,No Results Available,Drug: ALT-836|Drug: Placebo,"Safety profile of the study drug|Number of ventilator-free days at Day 28|Mortality at Day 7, 14, 21, 28 and 60|Length of hospitalization at Day 28|Length of ICU stay at Day 28|Number of Non-pulmonary organ failure free days at Day 28|Changes in physiological variables of lung injury|Changes in disease severity and lung injury scores|Effects of the study drug and the etiology of the disease (i.e. pulmonary or extra-pulmonary origin)|Pharmacokinetics & Pharmacodynamics|Immunogenicity","18 Years and older   (Adult, Older Adult)",Phase 2,150,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",13-Jan,"Los Angeles County and USC Medical Center, Los Angeles, California, United States",https://ClinicalTrials.gov/show/NCT00879606,,34.0580449,-118.2073831,"Los Angeles County and USC Medical Center, Los Angeles",Los Angeles County and USC Medical Center,"Hing C Wong, PhD",Los Angeles,2126,0.184174979,1,California,2126,7.020362911
281,Careful Ventilation in Acute Respiratory Distress Syndrome (COVID-19 and Non-COVID-19),Recruiting,No Results Available,Other: Respiratory Mechanics|Other: Standard Ventilation Strategy,"All-cause 60-day mortality|Duration of ventilation|Duration of ICU and hospital stay|Number of patients with organ dysfunction|Number of patients with barotrauma|Mortality at ICU discharge, 28 days, and hospital discharge","18 Years and older   (Adult, Older Adult)",Not Applicable,740,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,24-Nov,"New York University Grossman School of Medicine, New York, New York, United States",https://ClinicalTrials.gov/show/NCT03963622,,40.742133,-73.9738511,"New York University Grossman School of Medicine, New York",New York University Grossman School of Medicine,"Laurent Brochard, MD",New York,761,,0,New York,761,
282,"Double-Blind, Multicenter, Study to Evaluate the Efficacy of PLX PAD for the Treatment of COVID-19","Active, not recruiting",No Results Available,Biological: PLX-PAD|Biological: Placebo,Number of ventilator free days|All-cause mortality|Duration of mechanical ventilation,"40 Years to 80 Years   (Adult, Older Adult)",Phase 2,66,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",23-Feb,"University of California Irvine, Irvine, California, United States",https://ClinicalTrials.gov/show/NCT04389450,,33.6431901,-117.8401649,"University of California Irvine, Irvine",University of California Irvine,,Orange,0,0.178217076,1,California,651,5.178480972
